"number","opened_at","short_description","description","subcategory","close_notes","resolved_by","resolved_at","severity","assigned_to","category","comments","parent_incident","priority"
"INC0015463","2025-11-03 06:11:01","Issue 2462: Email not syncing","User reported Issue 2462: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015462","2025-11-03 06:11:01","Issue 2461: Email not syncing","User reported Issue 2461: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015461","2025-11-03 06:11:00","Issue 2460: Laptop boot issue","User reported Issue 2460: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015460","2025-11-03 06:11:00","Issue 2459: Software installation error","User reported Issue 2459: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015459","2025-11-03 06:11:00","Issue 2458: Email not syncing","User reported Issue 2458: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015458","2025-11-03 06:11:00","Issue 2457: Software installation error","User reported Issue 2457: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015457","2025-11-03 06:11:00","Issue 2456: Slow internet","User reported Issue 2456: Slow internet. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015456","2025-11-03 06:10:59","Issue 2455: Slow internet","User reported Issue 2455: Slow internet. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015455","2025-11-03 06:10:59","Issue 2454: Software installation error","User reported Issue 2454: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015454","2025-11-03 06:10:59","Issue 2453: VPN connection failure","User reported Issue 2453: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015453","2025-11-03 06:10:59","Issue 2452: Slow internet","User reported Issue 2452: Slow internet. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015452","2025-11-03 06:10:59","Issue 2451: Laptop boot issue","User reported Issue 2451: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0015451","2025-11-03 06:10:59","Issue 2450: Software installation error","User reported Issue 2450: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015450","2025-11-03 06:10:58","Issue 2449: Software installation error","User reported Issue 2449: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015449","2025-11-03 06:10:58","Issue 2448: Slow internet","User reported Issue 2448: Slow internet. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015448","2025-11-03 06:10:58","Issue 2447: VPN connection failure","User reported Issue 2447: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015447","2025-11-03 06:10:58","Issue 2446: Email not syncing","User reported Issue 2446: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015446","2025-11-03 06:10:58","Issue 2445: Slow internet","User reported Issue 2445: Slow internet. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015445","2025-11-03 06:10:58","Issue 2444: Email not syncing","User reported Issue 2444: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015444","2025-11-03 06:10:57","Issue 2443: VPN connection failure","User reported Issue 2443: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0015443","2025-11-03 06:10:57","Issue 2442: Slow internet","User reported Issue 2442: Slow internet. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015442","2025-11-03 06:10:57","Issue 2441: VPN connection failure","User reported Issue 2441: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0015441","2025-11-03 06:10:57","Issue 2440: Software installation error","User reported Issue 2440: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015440","2025-11-03 06:10:57","Issue 2439: Laptop boot issue","User reported Issue 2439: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015439","2025-11-03 06:10:57","Issue 2438: VPN connection failure","User reported Issue 2438: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015438","2025-11-03 06:10:56","Issue 2437: Email not syncing","User reported Issue 2437: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015437","2025-11-03 06:10:56","Issue 2436: VPN connection failure","User reported Issue 2436: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015436","2025-11-03 06:10:56","Issue 2435: Email not syncing","User reported Issue 2435: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015435","2025-11-03 06:10:56","Issue 2434: Software installation error","User reported Issue 2434: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0015434","2025-11-03 06:10:56","Issue 2433: Software installation error","User reported Issue 2433: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015433","2025-11-03 06:10:55","Issue 2432: Email not syncing","User reported Issue 2432: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015432","2025-11-03 06:10:55","Issue 2431: Email not syncing","User reported Issue 2431: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015431","2025-11-03 06:10:55","Issue 2430: Email not syncing","User reported Issue 2430: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015430","2025-11-03 06:10:55","Issue 2429: VPN connection failure","User reported Issue 2429: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0015429","2025-11-03 06:10:55","Issue 2428: Laptop boot issue","User reported Issue 2428: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015428","2025-11-03 06:10:55","Issue 2427: Software installation error","User reported Issue 2427: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015427","2025-11-03 06:10:54","Issue 2426: Email not syncing","User reported Issue 2426: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015426","2025-11-03 06:10:54","Issue 2425: Slow internet","User reported Issue 2425: Slow internet. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015425","2025-11-03 06:10:54","Issue 2424: Laptop boot issue","User reported Issue 2424: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015424","2025-11-03 06:10:54","Issue 2423: Email not syncing","User reported Issue 2423: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0015423","2025-11-03 06:10:54","Issue 2422: Slow internet","User reported Issue 2422: Slow internet. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015422","2025-11-03 06:10:54","Issue 2421: Email not syncing","User reported Issue 2421: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015421","2025-11-03 06:10:53","Issue 2420: Laptop boot issue","User reported Issue 2420: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015420","2025-11-03 06:10:53","Issue 2419: Laptop boot issue","User reported Issue 2419: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015419","2025-11-03 06:10:53","Issue 2418: VPN connection failure","User reported Issue 2418: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015418","2025-11-03 06:10:53","Issue 2417: Laptop boot issue","User reported Issue 2417: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015417","2025-11-03 06:10:53","Issue 2416: VPN connection failure","User reported Issue 2416: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0015416","2025-11-03 06:10:53","Issue 2415: VPN connection failure","User reported Issue 2415: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015415","2025-11-03 06:10:52","Issue 2414: Slow internet","User reported Issue 2414: Slow internet. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0015414","2025-11-03 06:10:52","Issue 2413: Laptop boot issue","User reported Issue 2413: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015413","2025-11-03 06:10:52","Issue 2412: Email not syncing","User reported Issue 2412: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015412","2025-11-03 06:10:52","Issue 2411: Software installation error","User reported Issue 2411: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015411","2025-11-03 06:10:52","Issue 2410: Slow internet","User reported Issue 2410: Slow internet. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015410","2025-11-03 06:10:51","Issue 2409: VPN connection failure","User reported Issue 2409: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015409","2025-11-03 06:10:51","Issue 2408: Laptop boot issue","User reported Issue 2408: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015408","2025-11-03 06:10:51","Issue 2407: Laptop boot issue","User reported Issue 2407: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0015407","2025-11-03 06:10:51","Issue 2406: Slow internet","User reported Issue 2406: Slow internet. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015406","2025-11-03 06:10:51","Issue 2405: Email not syncing","User reported Issue 2405: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015405","2025-11-03 06:10:51","Issue 2404: Software installation error","User reported Issue 2404: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015404","2025-11-03 06:10:50","Issue 2403: Software installation error","User reported Issue 2403: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015403","2025-11-03 06:10:50","Issue 2402: Email not syncing","User reported Issue 2402: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015402","2025-11-03 06:10:50","Issue 2401: Slow internet","User reported Issue 2401: Slow internet. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015401","2025-11-03 06:10:50","Issue 2400: Email not syncing","User reported Issue 2400: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0015400","2025-11-03 06:10:50","Issue 2399: Email not syncing","User reported Issue 2399: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015399","2025-11-03 06:10:50","Issue 2398: Slow internet","User reported Issue 2398: Slow internet. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015398","2025-11-03 06:10:49","Issue 2397: Slow internet","User reported Issue 2397: Slow internet. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015397","2025-11-03 06:10:49","Issue 2396: Slow internet","User reported Issue 2396: Slow internet. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015396","2025-11-03 06:10:49","Issue 2395: VPN connection failure","User reported Issue 2395: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015395","2025-11-03 06:10:49","Issue 2394: Slow internet","User reported Issue 2394: Slow internet. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015394","2025-11-03 06:10:49","Issue 2393: VPN connection failure","User reported Issue 2393: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015393","2025-11-03 06:10:48","Issue 2392: Email not syncing","User reported Issue 2392: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015392","2025-11-03 06:10:48","Issue 2391: Software installation error","User reported Issue 2391: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015391","2025-11-03 06:10:48","Issue 2390: Slow internet","User reported Issue 2390: Slow internet. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015390","2025-11-03 06:10:48","Issue 2389: Software installation error","User reported Issue 2389: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015389","2025-11-03 06:10:48","Issue 2388: VPN connection failure","User reported Issue 2388: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0015388","2025-11-03 06:10:48","Issue 2387: Email not syncing","User reported Issue 2387: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015387","2025-11-03 06:10:47","Issue 2386: Email not syncing","User reported Issue 2386: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015386","2025-11-03 06:10:47","Issue 2385: Laptop boot issue","User reported Issue 2385: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015385","2025-11-03 06:10:47","Issue 2384: Laptop boot issue","User reported Issue 2384: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015384","2025-11-03 06:10:47","Issue 2383: Slow internet","User reported Issue 2383: Slow internet. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015383","2025-11-03 06:10:47","Issue 2382: Laptop boot issue","User reported Issue 2382: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015382","2025-11-03 06:10:47","Issue 2381: Software installation error","User reported Issue 2381: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015381","2025-11-03 06:10:46","Issue 2380: VPN connection failure","User reported Issue 2380: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0015380","2025-11-03 06:10:46","Issue 2379: Software installation error","User reported Issue 2379: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015379","2025-11-03 06:10:46","Issue 2378: Software installation error","User reported Issue 2378: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0015378","2025-11-03 06:10:46","Issue 2377: Laptop boot issue","User reported Issue 2377: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015377","2025-11-03 06:10:46","Issue 2376: Slow internet","User reported Issue 2376: Slow internet. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015376","2025-11-03 06:10:46","Issue 2375: Software installation error","User reported Issue 2375: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015375","2025-11-03 06:10:45","Issue 2374: Email not syncing","User reported Issue 2374: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015374","2025-11-03 06:10:45","Issue 2373: Slow internet","User reported Issue 2373: Slow internet. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015373","2025-11-03 06:10:45","Issue 2372: Email not syncing","User reported Issue 2372: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0015372","2025-11-03 06:10:45","Issue 2371: Software installation error","User reported Issue 2371: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015371","2025-11-03 06:10:45","Issue 2370: VPN connection failure","User reported Issue 2370: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015370","2025-11-03 06:10:45","Issue 2369: Software installation error","User reported Issue 2369: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015369","2025-11-03 06:10:44","Issue 2368: Laptop boot issue","User reported Issue 2368: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015368","2025-11-03 06:10:44","Issue 2367: Email not syncing","User reported Issue 2367: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015367","2025-11-03 06:10:44","Issue 2366: Software installation error","User reported Issue 2366: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015366","2025-11-03 06:10:44","Issue 2365: Laptop boot issue","User reported Issue 2365: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015365","2025-11-03 06:10:44","Issue 2364: Software installation error","User reported Issue 2364: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0015364","2025-11-03 06:10:44","Issue 2363: Email not syncing","User reported Issue 2363: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015363","2025-11-03 06:10:43","Issue 2362: VPN connection failure","User reported Issue 2362: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0015362","2025-11-03 06:10:43","Issue 2361: VPN connection failure","User reported Issue 2361: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015361","2025-11-03 06:10:43","Issue 2360: Email not syncing","User reported Issue 2360: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0015360","2025-11-03 06:10:43","Issue 2359: VPN connection failure","User reported Issue 2359: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015359","2025-11-03 06:10:43","Issue 2358: Laptop boot issue","User reported Issue 2358: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0015358","2025-11-03 06:10:42","Issue 2357: Laptop boot issue","User reported Issue 2357: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015357","2025-11-03 06:10:42","Issue 2356: Laptop boot issue","User reported Issue 2356: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015356","2025-11-03 06:10:42","Issue 2355: Slow internet","User reported Issue 2355: Slow internet. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0015355","2025-11-03 06:10:42","Issue 2354: Laptop boot issue","User reported Issue 2354: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015354","2025-11-03 06:10:42","Issue 2353: Laptop boot issue","User reported Issue 2353: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015353","2025-11-03 06:10:42","Issue 2352: Email not syncing","User reported Issue 2352: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0015352","2025-11-03 06:10:41","Issue 2351: Email not syncing","User reported Issue 2351: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015351","2025-11-03 06:10:41","Issue 2350: Laptop boot issue","User reported Issue 2350: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015350","2025-11-03 06:10:41","Issue 2349: VPN connection failure","User reported Issue 2349: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0015349","2025-11-03 06:10:41","Issue 2348: Laptop boot issue","User reported Issue 2348: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015348","2025-11-03 06:10:41","Issue 2347: Email not syncing","User reported Issue 2347: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015347","2025-11-03 06:10:41","Issue 2346: Email not syncing","User reported Issue 2346: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015346","2025-11-03 06:10:40","Issue 2345: VPN connection failure","User reported Issue 2345: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015345","2025-11-03 06:10:40","Issue 2344: Software installation error","User reported Issue 2344: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015344","2025-11-03 06:10:40","Issue 2343: Laptop boot issue","User reported Issue 2343: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0015343","2025-11-03 06:10:40","Issue 2342: VPN connection failure","User reported Issue 2342: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0015342","2025-11-03 06:10:40","Issue 2341: Email not syncing","User reported Issue 2341: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015341","2025-11-03 06:10:39","Issue 2340: VPN connection failure","User reported Issue 2340: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015340","2025-11-03 06:10:39","Issue 2339: VPN connection failure","User reported Issue 2339: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015339","2025-11-03 06:10:39","Issue 2338: Laptop boot issue","User reported Issue 2338: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0015338","2025-11-03 06:10:39","Issue 2337: Laptop boot issue","User reported Issue 2337: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015337","2025-11-03 06:10:39","Issue 2336: VPN connection failure","User reported Issue 2336: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015336","2025-11-03 06:10:39","Issue 2335: VPN connection failure","User reported Issue 2335: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015335","2025-11-03 06:10:38","Issue 2334: Slow internet","User reported Issue 2334: Slow internet. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015334","2025-11-03 06:10:38","Issue 2333: Email not syncing","User reported Issue 2333: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015333","2025-11-03 06:10:38","Issue 2332: Software installation error","User reported Issue 2332: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0015332","2025-11-03 06:10:38","Issue 2331: Email not syncing","User reported Issue 2331: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015331","2025-11-03 06:10:38","Issue 2330: Software installation error","User reported Issue 2330: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015330","2025-11-03 06:10:38","Issue 2329: Software installation error","User reported Issue 2329: Software installation error. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015329","2025-11-03 06:10:37","Issue 2328: Email not syncing","User reported Issue 2328: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0015328","2025-11-03 06:10:37","Issue 2327: Laptop boot issue","User reported Issue 2327: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015327","2025-11-03 06:10:37","Issue 2326: Email not syncing","User reported Issue 2326: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015326","2025-11-03 06:10:37","Issue 2325: VPN connection failure","User reported Issue 2325: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015325","2025-11-03 06:10:37","Issue 2324: VPN connection failure","User reported Issue 2324: VPN connection failure. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0015324","2025-11-03 06:10:37","Issue 2323: Laptop boot issue","User reported Issue 2323: Laptop boot issue. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0015323","2025-11-03 06:10:36","Issue 2322: Email not syncing","User reported Issue 2322: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0015322","2025-11-03 06:10:36","Issue 2321: Email not syncing","User reported Issue 2321: Email not syncing. Issue observed during standard work hours. Needs immediate attention.","","","","","3 - Low","","Network","","","5 - Planning"
